id,name,suit,rank,type,description
card_043,顺手牵羊,diamond,4,scroll,出牌阶段，对距离为1且区域里有牌的一名其他角色使用。你获得其区域里的一张牌。
card_044,火杀,diamond,4,basic,
card_045,杀,club,4,basic,
card_046,过河拆桥,club,4,scroll,出牌阶段，对一名区域里有牌的其他角色使用。你弃置其区域里的一张牌。
card_047,兵粮寸断,club,4,scroll,判定阶段，对距离为1的角色使用。若判定结果不为梅花，跳过其摸牌阶段。
card_048,顺手牵羊,spade,4,scroll,出牌阶段，对距离为1且区域里有牌的一名其他角色使用。你获得其区域里的一张牌。
card_049,过河拆桥,spade,4,scroll,出牌阶段，对一名区域里有牌的其他角色使用。你弃置其区域里的一张牌。
card_050,雷杀,spade,4,basic,
card_051,赤兔,heart,5,equip,锁定技，你计算与其他角色的距离-1。
card_052,麒麟弓,heart,5,equip,当你使用【杀】造成伤害时，你可以弃置目标装备区里的一张【马】。攻击范围5。
card_053,桃,heart,5,basic,
card_054,闪,diamond,5,basic,
card_055,贯石斧,diamond,5,equip,当你使用的【杀】被【闪】抵消后，你可以弃置两张牌，令此【杀】依然造成伤害。攻击范围3。
card_056,火杀,diamond,5,basic,
card_057,的卢,club,5,equip,锁定技，其他角色计算与你的距离+1。
card_058,杀,club,5,basic,
card_059,雷杀,club,5,basic,
card_060,绝影,spade,5,equip,锁定技，其他角色计算与你的距离+1。
card_061,青龙偃月刀,spade,5,equip,当你使用的【杀】被【闪】抵消后，你可以对相同目标再使用一张【杀】。攻击范围3。
card_062,雷杀,spade,5,basic,
card_063,桃,heart,6,basic,
card_064,乐不思蜀,heart,6,scroll,判定阶段，对你使用。若判定结果不为红桃，跳过你的出牌阶段。
card_065,桃,heart,6,basic,
card_066,杀,diamond,6,basic,
card_067,闪,diamond,6,basic,
card_068,闪,diamond,6,basic,
card_069,杀,club,6,basic,
card_070,乐不思蜀,club,6,scroll,判定阶段，对你使用。若判定结果不为红桃，跳过你的出牌阶段。
card_071,雷杀,club,6,basic,
card_072,青釭剑,spade,6,equip,锁定技，当你使用【杀】指定目标后，忽略其防具。攻击范围2。
card_073,乐不思蜀,spade,6,scroll,判定阶段，对你使用。若判定结果不为红桃，跳过你的出牌阶段。
card_074,雷杀,spade,6,basic,
card_075,桃,heart,7,basic,
card_076,无中生有,heart,7,scroll,出牌阶段，对你使用。你摸两张牌。
card_077,火杀,heart,7,basic,
card_078,杀,diamond,7,basic,
card_079,闪,diamond,7,basic,
card_080,闪,diamond,7,basic,
card_081,杀,club,7,basic,
card_082,南蛮入侵,club,7,scroll,出牌阶段，对所有其他角色使用。每名角色需打出一张【杀】，否则受到1点伤害。
card_083,雷杀,club,7,basic,
card_084,杀,spade,7,basic,
card_085,南蛮入侵,spade,7,scroll,出牌阶段，对所有其他角色使用。每名角色需打出一张【杀】，否则受到1点伤害。
card_086,雷杀,spade,7,basic,
card_087,桃,heart,8,basic,
card_088,无中生有,heart,8,scroll,出牌阶段，对你使用。你摸两张牌。
card_089,闪,heart,8,basic,
card_090,杀,diamond,8,basic,
card_091,闪,diamond,8,basic,
card_092,闪,diamond,8,basic,
card_093,杀,club,8,basic,
card_094,杀,club,8,basic,
card_095,雷杀,club,8,basic,
card_096,杀,spade,8,basic,
card_097,杀,spade,8,basic,
card_098,雷杀,spade,8,basic,
card_099,桃,heart,9,basic,
card_100,无中生有,heart,9,scroll,出牌阶段，对你使用。你摸两张牌。
card_101,闪,heart,9,basic,
card_102,杀,diamond,9,basic,
card_103,闪,diamond,9,basic,
card_104,酒,diamond,9,basic,
card_105,杀,club,9,basic,
card_106,杀,club,9,basic,
card_107,酒,club,9,basic,
card_108,杀,spade,9,basic,
card_109,杀,spade,9,basic,
card_110,酒,spade,9,basic,
card_111,杀,heart,10,basic,
card_112,杀,heart,10,basic,
card_113,火杀,heart,10,basic,
card_114,杀,diamond,10,basic,
card_115,闪,diamond,10,basic,
card_116,闪,diamond,10,basic,
card_117,杀,club,10,basic,
card_118,杀,club,10,basic,
card_119,铁索连环,club,10,scroll,出牌阶段，对一至两名角色使用。其分别横置或重置。/ 重铸：出牌阶段，你可以将此牌置入弃牌堆，然后摸一张牌。
card_120,杀,spade,10,basic,
card_121,杀,spade,10,basic,
card_122,兵粮寸断,spade,10,scroll,判定阶段，对距离为1的角色使用。若判定结果不为梅花，跳过其摸牌阶段。
card_123,杀,heart,J,basic,
card_124,无中生有,heart,J,scroll,出牌阶段，对你使用。你摸两张牌。
card_125,闪,heart,J,basic,
card_126,闪,diamond,J,basic,
card_127,闪,diamond,J,basic,
card_128,闪,diamond,J,basic,
card_129,杀,club,J,basic,
card_130,杀,club,J,basic,
card_131,铁索连环,club,J,scroll,出牌阶段，对一至两名角色使用。其分别横置或重置。/ 重铸：出牌阶段，你可以将此牌置入弃牌堆，然后摸一张牌。
card_132,顺手牵羊,spade,J,scroll,出牌阶段，对距离为1且区域里有牌的一名其他角色使用。你获得其区域里的一张牌。
card_133,无懈可击,spade,J,scroll,目标锦囊牌对目标角色生效前，对此锦囊牌使用。抵消该锦囊牌对一名角色产生的效果。
card_134,铁索连环,spade,J,scroll,出牌阶段，对一至两名角色使用。其分别横置或重置。/ 重铸：出牌阶段，你可以将此牌置入弃牌堆，然后摸一张牌。
card_135,桃,heart,Q,basic,
card_136,过河拆桥,heart,Q,scroll,出牌阶段，对一名区域里有牌的其他角色使用。你弃置其区域里的一张牌。
card_137,闪电,heart,Q,scroll,判定阶段，对你使用。若判定结果为黑桃2~9，你受到3点雷属性伤害。若不为黑桃2~9，将之移动到下家判定区。
card_138,闪,heart,Q,basic,
card_139,桃,diamond,Q,basic,
card_140,方天画戟,diamond,Q,equip,当你使用的【杀】是你的最后一张手牌时，你可以为多指定两个目标。攻击范围4。
card_141,无懈可击,diamond,Q,scroll,目标锦囊牌对目标角色生效前，对此锦囊牌使用。抵消该锦囊牌对一名角色产生的效果。
card_142,火攻,diamond,Q,scroll,出牌阶段，对一名有手牌的角色使用。你展示一张手牌，若其弃置一张与你展示牌花色相同的手牌，你对其造成1点火属性伤害。
card_143,借刀杀人,club,Q,scroll,出牌阶段，对装备区里有【武器】牌的一名其他角色使用。其需对你指定的一名角色使用一张【杀】，否则将其装备区里的【武器】牌交给你。
card_144,无懈可击,club,Q,scroll,目标锦囊牌对目标角色生效前，对此锦囊牌使用。抵消该锦囊牌对一名角色产生的效果。
card_145,铁索连环,club,Q,scroll,出牌阶段，对一至两名角色使用。其分别横置或重置。/ 重铸：出牌阶段，你可以将此牌置入弃牌堆，然后摸一张牌。
card_146,丈八蛇矛,spade,Q,equip,你可以将两张手牌当【杀】使用。攻击范围3。
card_147,过河拆桥,spade,Q,scroll,出牌阶段，对一名区域里有牌的其他角色使用。你弃置其区域里的一张牌。
card_148,铁索连环,spade,Q,scroll,出牌阶段，对一至两名角色使用。其分别横置或重置。/ 重铸：出牌阶段，你可以将此牌置入弃牌堆，然后摸一张牌。
card_149,闪,heart,K,basic,
card_150,爪黄飞电,heart,K,equip,锁定技，其他角色计算与你的距离+1。
card_151,无懈可击,heart,K,scroll,目标锦囊牌对目标角色生效前，对此锦囊牌使用。抵消该锦囊牌对一名角色产生的效果。
card_152,杀,diamond,K,basic,
card_153,紫骍,diamond,K,equip,锁定技，你计算与其他角色的距离-1。
card_154,骅骝,diamond,K,equip,锁定技，其他角色计算与你的距离+1。
card_155,借刀杀人,club,K,scroll,出牌阶段，对装备区里有【武器】牌的一名其他角色使用。其需对你指定的一名角色使用一张【杀】，否则将其装备区里的【武器】牌交给你。
card_156,无懈可击,club,K,scroll,目标锦囊牌对目标角色生效前，对此锦囊牌使用。抵消该锦囊牌对一名角色产生的效果。
card_157,铁索连环,club,K,scroll,出牌阶段，对一至两名角色使用。其分别横置或重置。/ 重铸：出牌阶段，你可以将此牌置入弃牌堆，然后摸一张牌。
card_158,南蛮入侵,spade,K,scroll,出牌阶段，对所有其他角色使用。每名角色需打出一张【杀】，否则受到1点伤害。
card_159,大宛,spade,K,equip,锁定技，你计算与其他角色的距离-1。
card_160,无懈可击,spade,K,scroll,目标锦囊牌对目标角色生效前，对此锦囊牌使用。抵消该锦囊牌对一名角色产生的效果。
