id,name,max_hp,init_hp,nation,skills
hero_019,qyc,5,5,S,【自律】若你在你的出牌阶段没有打出任何牌，你可以将一张或两张手牌置于判定区，视为“乐不思蜀”，然后跳过弃牌阶段。当乐不思蜀对你生效时（判定完判定区所有的乐不思蜀，可多次发动），你可以选择：移动场上的一张牌之后将牌堆顶的一张牌放置在将牌上，视为“冲”（不可被移走 【纵欲】锁定技，当你造成或受到伤害时，将“冲”分配（你可看）给任意名角色。分到冲的角色会受到与分到张数相同的火焰伤害（你为伤害来源）。你自动获得所有红桃冲（最先）。如果有角色分配到了两张以上的冲，则你失去总和为2＋X（X为超额的冲的数@量）点体力或体力上限
hero_020,秋成教育张群武,3,3,T,【秋成】摸牌阶段，你可以多摸2张牌，然后若你的手牌多于5张，你将一半的手牌（向下取整）交给手牌数最少或最多的一名其他角色。 【复读】其他角色的弃牌阶段结束后，你可令其获得其弃牌中一张牌，然后你获得他的其余弃牌。
hero_021,青年余小路,5,5,T,【热血】锁定技。你不能成为乐不思蜀的目标，你的酒均视为杀 【渐秃】你没有宝物栏。出牌阶段，你可以废除任意装备栏，并选择一项：1.失去一点体力上限，将该装备牌置于武将牌上，记为“学”（仅可在装备栏有牌时发动）；2.根据废除装备栏的类别，获得对应效果：武器牌：你本回合可多使用3张杀；防具牌：你摸3张牌；坐骑牌：本回合你用牌无视距离 【勤学】锁定技，你始终视为装备了“学”中装备牌。你每有一张学，加一张手牌上限，若你“学”的数量不小于2，你获得“英姿” 【成长】觉醒技，准备阶段，若你失去全部装备栏，你立刻觉醒，获得“秃头”，若你的“学”的数量大于你体力上限的一半，你删去“热血”中的酒均视为杀，并获得“自学”；反之，你失去“热血”，获得“领导” 【自学】出牌阶段，你可以将装备牌当无中生有或桃使用 【领导】出牌阶段，你可以将一张装备牌置于一名其他角色的装备区内，并获得其一张牌
hero_022,原神pl,3,3,T,【原神】你的回合内，你可以弃一张牌，跳过除准备阶段和结束阶段的任意一个未开始的阶段。若你以此法跳过了：1.判定阶段，你移动场上一张牌；2.摸牌阶段，你获得至多两个人的各一张牌；3.出牌阶段，你令一名角色展示其手牌，然后你可将其中一张交给一名除其之外的其他角色，若为装备牌，其使用之；4.弃牌阶段，你摸X张牌，然后将你手牌中的X张牌置于你的武将牌上，称为“原”（X为你本回合跳过的阶段数） 【启动】当你被杀或普通锦囊牌指定后，你可以失去一点体力并弃置一张“原”，使此牌对你无效，然后你弃置其一张牌，若你弃置的“原”和其弃置的牌颜色相同，你摸一张牌；花色相同，你回复一点体力
hero_023,疯狂教练 主任,3,3,T,【选拔】游戏开始时，你将牌堆顶的X+1(X为游戏总人数)张牌扣置于你的武将牌上，称为“竞赛学生”，然后你可以用任意张手牌替换等量的“竞赛学生”；摸牌阶段与弃牌阶段结束时，你可以用任意张手牌替换等量的“竞赛学生”。 【停课】结束阶段，你可以移去任意张“竞赛学生”并选择等量的角色，然后直到你的下回合开始之前，当这些角色受到非雷电伤害时，防止此伤害。 【独占】出牌阶段阶段当场上有角色手牌数小于等于1时，你可以移走2（有一张牌）/1（没有牌）张竞赛学生，然后令该角色翻面。
hero_024,补习刘少,3,3,S,【偏科】每当你使用或打出一张牌，你可以弃一张牌然后摸一张牌，若你弃置的牌花色与你使用或打出的牌相同，进行一次判定，若颜色也相同则获得判定牌 【补习】结束阶段，你可以选择一名其他角色，令其观看你全部手牌，然后其可以展示一张牌，若你没有此花色的牌，则你可以展示牌堆顶一张牌并获得，直到你获得此花色的牌，反之，其可以弃掉一张你此花色的牌
hero_025,文智丽,3,3,T,【贤助】当一张判定牌被翻开后，你可以用一张与此判定牌颜色不同的替换此牌，然后你获得被替换的判定牌。 【护发】当一名其他角色将要受到伤害时，若其手牌数不大于1，你可以弃x+1张牌，阻止此伤害，然后你选择一项：1.摸一张牌；2.令此技能视为未发动过。（x为你本回合发动此技能的次数） 【生发】一名角色的回合结束时，若其手牌数为全场最少，你可以令其将手牌摸至体力上限，然后其选择一项：1.失去一点体力；2.令你失去一点体力
hero_026,熊礼才,3,3,T,【理财】当任何人在摸牌阶段，可以选择少摸任意张牌并将相同张数的牌放置于你的将牌旁的牌堆上/下（指定）。当任何人弃牌时，弃置的牌也会进入将牌旁的牌堆下。牌堆顶的牌需要翻开，选择置于牌堆上则需要替换翻开的那一张牌。当牌堆的数量大于等于牌堆顶的点数时，立刻从你开始，按你指定的顺序依次摸起牌堆中的牌，直到牌堆为空 【书记】限定技。当场上出现有角色濒死时选择发动。你可以选择将场上所有角色的手牌，判定区和装备区的所有牌归入你将牌旁的牌堆
hero_027,绝代双阴 魏遵平&赵文华,4,4,T,【双面】锁定技，转换技。当你于游戏第一次造成或受到伤害时，你令此转换技从任意一项开始执行。1：你造成和受到的伤害加一；2：你造成和受到的伤害减一。 【二阴】锁定技。每当“双面”转换一次，你摸1张牌
hero_028,yyf,4,4,S,【头发护理系列】（生发护发）判定阶段后可以选择发动，将发量记为血量上限和场上存活人数的平均值（部分死后的魂类角色算0.5个人）四舍五入得到发量，同时角色翻面。（染发）在一张牌即将生效时，你可以改变此牌的花色，此操作消耗一点发量。（烫发）在一张牌即将生效时，你可以改变此牌的点数，此操作消耗一点发量。（秃头）发量为0时获得此技能。 【精工】（智能无人技术）在上一个人回合结束时，或者自己回合结束时发动，一回合限一次。选择一名有手牌的角色，展示他的一张手牌，如果你可以展示和他相同花色且点数的手牌，则可以制作智能代打工具工作一个完整周期。（智能代打工具）可以对你的目标使用一次，当你需要与其互动时，可让智能代打工具解决此问题。
hero_029,教务处汪小明,3,3,T,【秃威】其他角色的回合开始时，你可以失去一点体力，进行一次判定，然后令其选择一项：1.交个你X张与判定牌花色相同的牌；2.本回合其不能使用或打出与判定牌颜色相同的牌。若如此做，本回合结束时，你翻面。（X为你已损失的体力值且至少为一） 【智顶】每当你的体力值下降时，你可以立刻观看牌堆顶2张牌（若场上存活人数小于游戏开始时的一半则改为3张），然后你可以将这些牌以任意顺序置于牌堆顶或牌堆底。 【后起】锁定技。当你翻面时，你从牌堆底摸两张牌。
hero_030,书法大师 教授,3,3,S,【虫飞】摸牌阶段，你可以改为展示牌堆顶的一张牌，猜测牌堆顶的下一张牌牌名字数大于、小于或等于此牌，然后展示之，若猜对，你获得以此法展示的牌，然后你可以重复此流程，若猜错，你中止此流程。 【鸡舞】每回合限X-2次，X为你虫飞获得的牌数，你可以将一张牌当一张与其牌名字数相同的非装备牌使用或打出
hero_031,求原谅 江神,4,4,S,【贴心】其他角色的回合开始时，你选择一项：1.令其于判定阶段开始时将手牌数调整至与你相同，其结束阶段开始时，你将手牌数调整至与其相同；2.其判定阶段开始时，你将手牌数调整至与其相同，其结束阶段开始时，你令其将手牌数调整至与你相同。 【弃尊】其他角色的回合限一次，你可以于其准备阶段或弃牌阶段开始时将至多X张牌扣至于你的武将牌上，该角色的回合结束时，你将你武将牌上的牌交给一名任意角色。（X为你已 失去的体力 ） 【求谅】锁定技。每当你于你的回合内获得一张牌，你需要弃置一张牌。若你未受伤，你的手牌上限减一，若你体力值为一，你的手牌上限加一。
hero_032,精力旺盛刘医生,4,4,S,【对骂】蓄力技（2/4），回合内你可以消耗X点蓄力值，你可以的X名角色发动一次拼点，拼点胜方视为对败方使用决斗。决斗胜方可以获得决斗败方一张牌。你每弃置一张牌（弃牌阶段）或被弃置一张牌或者拼点胜利，你获得一点蓄力值。 【被吵】当你的蓄力值为0，你无法使用任何牌。 【删除】锁定技，你的造成与收到伤害均视为流失体力
hero_033,刘少,4,4,S,【老大】出牌阶段发动，当你小弟数未达上限且你有手牌时你可以令一名角色交给你一张手牌。若他这么做，你需要交给他两张手牌，之后他成为你的小弟。你可以获得小弟的一个非锁定技。当你每次发动以此方式获得的小弟的技能时，你和小弟各摸一张牌。当你或小弟受到伤害时，小弟关系解除。初始时你的小弟数量上限为1 【消息】若一名角色拒绝成为你的小弟，你可以展示其一张手牌。若花色为红桃，你获得此牌，血量上限减1，小弟上限+1 【手眼通天】主公技，你的小弟上限加一，当你需要打出基本牌时你可以令小弟帮你打出。小弟受到的伤害需要转移给你。
hero_034,PL,4,4,T,【住院】锁定技，当你进入濒死状态时，你可以发动一次判定，记录判定的花色。若判定结果与已记录的花色不同，你回复生命值为1点。若有记录的花色，你每回复生命值视为移除一种已记录的花色 【极限】出牌阶段限一次。你翻面，并摸X张牌（X为你已损失的生命值加上记录的花色数），此回合你造成的伤害所有+1且你使用杀的次数上限为X
hero_035,不竭之力 mjf&tym,4,4,S,【起舞】出牌阶段限一次，当你使用一张牌结算完毕后，你可以弃一张牌或进行一次判定，若你弃置的牌或判定牌和此牌花色相同，你视为以相同方式使用了一张与此牌相同的牌 【决斗】出牌阶段限一次，你可以将一张牌当决斗使用，以此法使用的决斗造成伤害时，你摸一张牌，若受伤角色不是你，你回复一点体力 【不倦】每当你使用决斗指定一名其他角色时，你可以选择一项：1.获得其一张牌；2.弃一张基本牌，使此决斗伤害加一；3.失去一点体力上限，同时选择1、2两项。你每杀死一名角色，你增加一点体力上限，重置你的所有技能。
hero_036,gq:原版,4,4,S,【严肃】所有人与你结算距离时的距离加二 【金牌】准备阶段，你可以进行判定，若结果为黑色，你获得此牌，然后你可以重复此流程。本回合你的手牌上限加X。若X不大于二，结束阶段，你可以再进行判定，若结果为红色，你获得此牌，然后你可以重复此流程，若结果为黑色，你获得此牌，终止此流程。（X为你准备阶段以此法获得的牌数）
hero_037,cwz,4,4,S,【欻】每个出牌回合限一次，你猜将摸的牌的类型，然后摸牌，若猜中，则你获得该牌并继续，若没猜中，弃掉该牌并停止 【熬夜】每个结束回合结束后限一次，你可以弃一张牌，再获得一个出牌回合
hero_038,mjf,3,3,S,【白嫖】每个玩家的开始阶段限一次。可以选择在你的角色牌上放置一张牌，然后摸一张牌。放置的牌视为你的piao。放置的牌要与已经有的牌花色不同。当你需要使用桃时，你可以弃置两张piao，视为你使用桃。当你的piao达到四张时，你可以获得所有的piao。如果piao被消耗，则进行一次判定，花色与已有的不同则判定结果将成为你的piao
hero_039,原版教授,4,4,S,【白眼】每个你的回合开始，你都可以选一个人翻其白眼，在下个他的回合开始时，他必须对你使用一张杀或决斗，否则他扣一点血 【狂暴】每当有人通过杀或决斗对你造成伤害时，他将获得一个标记，当你死后，你可以令标记数目最多的人进行一次判定，若判定牌为桃或桃园结义，则他扣至只剩一滴血，若不是，则他扣至没有血，通过此法使人死亡，判定为他先死而你后死
hero_040,垃圾教授,3,3,S,你可以将任意梅花当过河拆桥使用 每发生一个弃牌事件，你都可以从中选择一张牌，进行一次判定，颜色相同，则从判定牌和选牌中选择一张获得，颜色不同，则无效果
hero_041,傻大个教授,3,3,S,【大个】每回合限一次，给一个人一张手牌，并且自己摸一张牌 【大傻】死后可以继续游戏，但手牌上限归零，装备可以保留一回合
hero_042,摔跤教授,4,4,S,【摔跤】你的所有基础牌均视为杀，所有锦囊牌均视为决斗，所有装备牌均可当杀或决斗打出 【胜利】每次决斗获胜，你都可以回一点血 【愤怒】你每次受伤，都可以和伤害来源决斗
hero_043,zzc,4,4,S,【葡萄】你可以你的手牌当上一张你打出的牌打出，每种牌限两次 【吃厌】每次你的回合结束时，若你在本回合内没有对他人造成伤害，则你额外摸一张牌，反之，你额外弃一张牌
hero_044,赵文华原版,4,4,T,【规矩】每个你的回合开始，从三项能力中选一项获得：多抽两张牌，不弃牌，改判 【文明】你每回合只能收到来自同一伤害来源的一次伤害
hero_045,sp赵文华,3,3,S,【分贝】出牌阶段限一次，你可与一名其他角色进行一次拼点。若你赢，则无效果。若你没赢，则你翻面。然后无论你是否赢，你获得其全部牌。你的出牌阶段结束后，你须给该角色X张牌（X为其体力值），若你牌数不够，你失去相差的相等的体力，且你若未翻面则翻面。 【巡查】每回合限一次，你可以观看一名角色的手牌，然后你可以与他弃置共计X张花色不同的牌（X最大为四），若在其中你弃置的牌数为：①0张:该角色摸X+1张牌②1张:该角色摸一张牌③3张:你回复一点体力④4张:你摸4张牌
hero_046,spPL,4,4,T,【任劳】你可以无限装备装备牌 【任怨】你可以将你的武器牌翻面，当作杀，将防具和马翻面，当作闪或无懈可击。每个你的回合结束，若有翻面装备牌，则进行一次判定，以翻面装备牌若有x张，则只要你的判定点数大于2x，则你保留以翻面装备牌，反之，则弃置 【报酬】锁定技。当你失去牌时，你须展示你失去的牌，若此牌为装备牌，你摸一张牌，若此时你的装备栏没有对应种类装备，你再摸一张牌
hero_047,张OO,4,4,T,【咆哮】你可以无限出杀； 【愤怒】觉醒技，当你的血量减至2及以下时，你可以减一点血量上限并觉醒。觉醒后，你可以将其黑牌当杀出，且你的杀无视距离和防具。
hero_048,刘医生sp,4,4,S,【英姿】抽牌数加一 【名医】当场上有人受到伤害时，你可弃置一张牌发动一次判定，若结果为红色，受到伤害方回复一点体力，若结果为黑色，你和受到伤害方各摸一张牌。
hero_049,徐善慧,4,4,T,【夺旗】任何其他人打出非延时性锦囊牌时，你可以打出一张与其花色相同的牌，然后选择：获得这张锦囊牌，或将这张锦囊牌置于牌堆顶。当你的选择与上一次不同时，你可以从牌堆底摸一张牌，然后令此牌失效。 【校长】限定技。你可以查看一个人的身份，然后选择：1.令你和他血量上限同时加一 2.令你和他血量上限同时减一
hero_050,傲慢与谦逊刘晟轩,3,3,S,【傲谦】当你使用牌指定目标后或被其他角色用牌指定为目标后，若该牌花色与你已有的“傲谦”均不相同，则你可阻止该牌效果，并将该牌置于你的武将牌上，称为“傲谦”。出牌阶段限一次，当你对一名角色造成伤害后，你可以弃置X张牌（X小于等于你的傲谦数），然后展示X张牌。若一张“傲谦”的花色在展示牌中存在，则其转化为“傲”，反之，则转化为“谦”。然后，你可以选择：1.弃置所有“傲”，对该角色造成等同于“傲”数量的伤害；2.获得所有谦，你摸等于谦数量的牌，然后你可以令其摸等量的牌。本回合你的手牌上限增加Y（Y为谦的数量）。结算后，你的“傲”和“谦”重新变为“傲谦”。
hero_051,sp关奇,3,3,S,【震慑】你可以弃置相同花色的牌或扣血，总记达3时，你可以强行使一人翻面 【冷漠】任何人以你为唯一目标使用或打出牌时，都要进行判定，判定到与所出的牌相同颜色时，该牌方能生效
hero_052,孙石毅,1,1,T,【阴间】死亡时发动，弃掉你的手牌至四张，然后复活，最多发动两次，第一次血量上限加一，手牌上限加一，第二次血量上限加一，抽牌数加一 【怒进】苦肉
hero_053,tym,3,3,S,【苟】你于回合外可以将一张红色牌当【桃】使用。若你对其他角色使用且其脱离濒死阶段，其可交给你一张牌，若其处于自己的回合内，其本回合最多交给你一张牌。 【奶】出牌阶段限一次，你可以弃置一张手牌，令一名角色回复1点体力。若弃置的牌为黑色，你可再次发动此技能，若为红色，你摸一张牌
hero_054,陈永乐,4,4,S,【跑步】锁定技，当你的手牌为0时，补充手牌数至血量上限再翻面 【引诱】当你需要使用闪时时，若处于翻面状态，则翻回视为使用闪。若你这么做，弃置任意张手牌，并且使用牌让你需要使用闪的角色也需要弃置同样张数的手牌
hero_055,食堂经理,4,4,T,【火候】锁定技。当你将要造成或收到伤害时，进行一次判定。结果为红色，该伤害-1；为黑色，该伤害+1. 【下毒】当你发动“火候”之后选择发动。摸起2张牌并查看其中的1张。你可以将一张已查看的牌放置于任意一名其他角色边或获得这张牌，将未查看的牌放置在你的角色边，视为“毒”。当你的角色旁的“毒”达到三张时你将不能发动“下毒”。有“毒”的角色进入开始阶段，将“毒”翻开。若为黑色，受到1点伤害，是为无伤害来源。若为红色，回复1点血。
hero_056,黄勇,3,3,T,【蛰伏】在你的回合外，若你需要打出”杀“”闪“时，若角色未翻面，你可以翻面视为打出之。 【隐忍】在你的回合外，若你已处于翻面状态，且失去了牌或者血量时，摸起X张牌置于角色牌边，且X至少为1。当你进入濒死状态后觉醒，减少1点血量上限并恢复1点生命，获得所有角色牌边的牌，并可以选择交给场上任意名角色一人至多2张牌。失去技能”蛰伏“”隐忍“，获得技能”克己“”攻心“ 【攻心】在你的回合内，你可以观看一名角色的手牌，展示一张♡牌并弃之或放于牌堆顶。
hero_057,黄奕轩,4,4,S,【爱信不信】每名角色的回合限一次。你可以扣置1张手牌当作基本牌或非延时性锦囊打出，若其他角色质疑则翻开此牌。若为假，此牌作废且若你在其他角色回合内，你不能再打出与你声明的牌相同的牌，质疑者摸一张牌。若为真，质疑者流失一点体力。 【连营】
hero_058,舞王僵尸qyc,2,2,S,【舞王】准备阶段发动。你可以舞伴补至X（X为当前场上人数且X至多为4）张牌放在你的角色牌边视为舞伴。当你受到伤害时，你可以消耗一张与对你造成伤害的牌花色相同的舞伴来抵消此次伤害。 【僵尸】如果你需要打出一张牌，你需要弃置另一张或者一张舞伴来使这张牌生效。当你选择弃置一张与要打出的牌花色相同的舞伴时，你可以选择（1）摸一张牌并选择归入手牌或舞伴（2）视为打出另一张刚刚打出的牌
hero_059,宋飞,4,4,T,当你使用牌指定目标后，若其手牌数不大于你，则除非其展示一张与该牌花色相同的牌，否则其不可响应此牌，且若其因此牌受到伤害，该伤害加一。若场上角色大于2，当一名其他角色指定场上除其以外的所有角色时，你可弃一张牌，令他自己作为最后一名被指定的角色受到同样的指定
hero_060,运动员qyc,1,8,S,【瘦身】锁定技。你无法通过瘦身以外的方式回复体力，每当你进入濒死阶段时，你失去一点体力上限，回复体力值至1点，摸x/2（向上取整）张牌。你的手牌上限加x，攻击距离减x。（x为你当前体力上限） 【锻炼】觉醒技。准备阶段，若你的体力上限小于等于5，你失去“瘦身”，弃置你判定区内所有牌，将体力回复至体力上限，然后获得“健康”，“踢球”和“围攻”。 【健康】锁定技。当你的体力值等于体力上限时，你使用牌无次数距离限制。 【踢球】转换技。1.当你需要使用或打出一张非装备牌时，你可以失去一点体力上限，视为使用或打出之；2.出牌阶段，你可以弃两张牌，增加一点体力。 【围攻】每当你对一名其他角色造成伤害时，其可以选择一项：1.令你增加一点体力上限，本回合当你使用牌指定其为目标时，其可使此牌不能对其生效；2.令你失去一点体力，本回合其不能响应你使用的牌。
hero_061,杜景泉,4,4,T,【脊梁】锁定技，在你的回合外，你每失去一张手牌，都需要进行一次判定。若判定花色与失去的牌颜色相同，你获得判定牌 【杰青】当你的手牌数目等于3时，你可以立即弃置一张牌。当你的手牌数为2时，你可以立即展示你的全部手牌并弃置其中一张，若弃置的颜色为红/黑，则指定一名角色弃置其区域内一张牌/你对他造成一点伤害。
hero_062,亲爱的校领导,3,3,T,【干扰】每轮每名角色各限一次，当一名角色于其摸牌阶段外获得牌时，你可以获得其一张牌，然后你可以将此牌交给一名其他角色 【锻炼】其他角色的回合开始阶段，你可以交给其一张牌，然后若其本回合使用和打出的牌数小于其回合开始时的体力值，本回合其手牌上限减1，反之其结束阶段可以摸一张牌。
hero_063,启兵教授,3,3,T,【药理】你可以打出一张桃，然后摸两张牌。 【基金】出牌阶段限一次。你可以指定一名角色，令其摸一张牌，视为对其使用火攻。如果火攻命中，可以对同一名角色重复此过程。你的火攻命中后，你摸一张牌。
hero_064,随机发型gq,3,3,S,【生发】锁定技。游戏开始与你的回合开始，你翻开牌堆顶的一张牌，将其点数张牌移到角色牌旁牌堆顶。角色牌旁的牌堆顶一张牌需要保持翻开（其余不能看）。你当你角色旁的牌堆为空时，你弃置全部手牌。当你失去最后的手牌且结算完成后你的手牌数依然为0，你失去所有角色旁牌堆的牌。你拥有技能“空城”。 【变换】锁定技。当你使用牌时，移去角色旁牌堆顶的牌。若你使用的牌与角色旁牌堆顶的牌花色相同，你摸一张牌。使用牌时牌堆顶的牌花色如下，触发以下的效果：♥️，你将一张手牌交给一名角色，其可以交给你任意张牌。♣️，使用的此牌不计入次数限制且无法被响应。♦️，你将至少一张手牌放入角色旁牌堆，然后交给这张牌此时指定的第一个目标（结算顺序，桃和装备牌为自己）调整顺序。♠️，你使用的这张牌（若为杀拆顺火连）可以额外指定至多两个不同的目标。若为杀和顺，目标需要在攻击范围内
hero_065,sp熊理财,3,3,T,【礼贤】准备阶段，你可以弃置一张非基本牌，跳过你的出牌阶段，然后你可以获得弃牌堆中一张与你弃置的牌花色不同的基本牌。然后你可以指定一名其他角色，令其于你回合结束后开始一个回合。若你对有“主”标记的角色使用该技能，你摸一张牌，本回合你的手牌上限改为血量上限。 【书记】若你于弃牌阶段弃置了装备牌，你可以立刻装备之。 【禅让】主公技，限定技。当你未能脱离濒死阶段时，你可以恢复体力至一点，失去一点体力上限，然后选择一名其他角色，令其恢复一点体力，增加一点体力上限，获得“主”标记，有“主”标记的角色在场时，若你受到致死伤害，你防止此伤害。有“主”标记的角色主公技生效。当有“主”标记的角色进入濒死阶段时，其移去“主”标记，恢复体力至1点，然后你失去全部体力。
hero_066,sp徐善慧,3,3,T,【得权】锁定技，你的出牌阶段开始时，你摸一张牌，将一张牌置于武将牌上，称为“权”。当你受到X点点伤害时，你必须移去X张“权”，防止此伤害。 【权力】锁定技。摸牌阶段，你多摸X张牌，你的手牌上限加X，你每回合可多使用X张杀。（X为你“权”的数量） 【校长】主公技。当你移去一张“权”或受到一点伤害时，你可以指定一名其他角色，令其摸一张牌，然后若其装备区牌数不为全场最多，其可以额外摸一张牌，然后其可以展示手牌中的任意张装备牌并装备之；若其装备区牌数为全场最多，其可以将一张装备牌置于你的武将牌上，记为“权”。
hero_067,姚棋皓,3,3,S,【蝴蝶】你可以横置你的角色牌，视为使用或打出一张任意属性和花色的杀，你可以重置你的角色牌视为使用或打出一张闪或无懈可击 【优秀】一名角色开始阶段结束后，你可以重置你的角色牌，将某名角色区域内一张牌置于牌堆顶
